iter	Passed	Remaining
0	132	132218
1	133	66653
2	134	44798
3	135	33854
4	137	27327
5	138	22980
6	139	19831
7	140	17480
8	142	15699
9	143	14254
10	145	13049
11	146	12044
12	147	11183
13	148	10454
14	149	9816
15	150	9264
16	151	8767
17	152	8328
18	153	7930
19	154	7576
20	155	7258
21	156	6966
22	157	6704
23	159	6466
24	160	6243
25	161	6036
26	162	5844
27	163	5662
28	164	5496
29	165	5335
30	165	5185
31	166	5048
32	168	4925
33	169	4816
34	170	4710
35	171	4605
36	173	4523
37	175	4449
38	176	4358
39	178	4279
40	179	4194
41	180	4112
42	181	4030
43	181	3953
44	182	3877
45	183	3805
46	185	3755
47	186	3701
48	187	3647
49	188	3589
50	189	3530
51	190	3474
52	191	3419
53	192	3366
54	192	3314
55	193	3265
56	194	3221
57	195	3174
58	196	3130
59	197	3093
60	198	3051
61	199	3024
62	201	2993
63	202	2961
64	203	2925
65	204	2889
66	205	2855
67	205	2820
68	206	2788
69	207	2756
70	208	2724
71	209	2693
72	209	2666
73	210	2637
74	211	2609
75	212	2582
76	213	2555
77	214	2538
78	216	2522
79	217	2505
80	218	2482
81	219	2458
82	220	2430
83	220	2408
84	221	2385
85	222	2363
86	223	2341
87	223	2319
88	224	2299
89	225	2279
90	226	2259
91	227	2240
92	227	2221
93	229	2209
94	230	2199
95	232	2188
96	233	2172
97	234	2155
98	235	2139
99	236	2124
100	236	2108
101	237	2094
102	238	2079
103	239	2064
104	240	2051
105	241	2037
106	242	2023
107	243	2013
108	245	2005
109	246	1995
110	248	1987
111	249	1974
112	249	1961
113	250	1947
114	251	1934
115	252	1921
116	252	1907
117	253	1894
118	254	1882
119	255	1871
120	255	1859
121	256	1846
122	257	1834
123	258	1826
124	260	1823
125	261	1815
126	262	1804
127	263	1794
128	264	1784
129	265	1774
130	266	1764
131	266	1755
132	267	1745
133	268	1736
134	269	1727
135	270	1718
136	271	1710
137	272	1701
138	274	1700
139	276	1695
140	277	1688
141	277	1678
142	278	1669
143	279	1660
144	280	1653
145	281	1645
146	282	1637
147	283	1629
148	283	1621
149	284	1614
150	285	1607
151	286	1599
152	288	1596
153	290	1593
154	291	1588
155	292	1584
156	293	1576
157	294	1568
158	295	1560
159	295	1553
160	296	1544
161	297	1536
162	297	1529
163	298	1523
164	299	1517
165	300	1510
166	301	1504
167	302	1500
168	304	1497
169	305	1492
170	306	1487
171	307	1480
172	308	1474
173	309	1467
174	309	1461
175	310	1454
176	311	1448
177	312	1441
178	312	1435
179	313	1429
180	314	1423
181	315	1417
182	316	1411
183	317	1405
184	318	1404
185	320	1402
186	321	1397
187	322	1391
188	322	1385
189	323	1380
190	324	1374
191	325	1368
192	325	1362
193	326	1357
194	327	1351
195	328	1346
196	328	1341
197	329	1335
198	330	1330
199	331	1325
200	333	1324
201	334	1321
202	335	1318
203	336	1313
204	337	1308
205	338	1303
206	338	1298
207	339	1293
208	340	1288
209	341	1283
210	341	1278
211	342	1273
212	343	1268
213	344	1264
214	344	1259
215	345	1254
216	346	1250
217	348	1249
218	349	1246
219	350	1242
220	351	1238
221	352	1233
222	352	1229
223	353	1224
224	354	1220
225	355	1216
226	355	1211
227	356	1207
228	357	1203
229	358	1199
230	359	1195
231	359	1191
232	360	1187
233	361	1183
234	363	1183
235	364	1180
236	365	1178
237	366	1174
238	367	1170
239	368	1166
240	369	1162
241	369	1158
242	370	1154
243	372	1153
244	373	1150
245	374	1148
246	376	1148
247	378	1148
248	380	1146
249	381	1143
250	382	1140
251	382	1136
252	383	1133
253	384	1130
254	385	1127
255	386	1123
256	390	1128
257	390	1124
258	393	1124
259	394	1123
260	395	1120
261	396	1117
262	397	1114
263	398	1110
264	399	1107
265	400	1106
266	401	1103
267	402	1100
268	403	1096
269	404	1093
270	405	1089
271	405	1086
272	407	1086
273	409	1083
274	410	1082
275	411	1079
276	412	1076
277	413	1072
278	413	1069
279	414	1066
280	415	1062
281	416	1059
282	416	1056
283	418	1053
284	418	1050
285	419	1047
286	420	1044
